img_id,input_img,label_img,valid_type1,valid_type2,valid_type3,valid_type4,valid_type5,valid_type6,valid_type7,valid_type8,valid_type9,valid_type10,valid_type11
10000,train_input_10000.png,train_label_10000.png,train,valid,train,train,except,except,except,train,unseen,train,train
10001,train_input_10001.png,train_label_10001.png,train,valid,train,train,except,except,except,train,train,train,train
10002,train_input_10002.png,train_label_10002.png,valid,valid,valid,valid,valid,valid,except,valid,valid,valid,valid
10003,train_input_10003.png,train_label_10003.png,train,valid,train,train,except,except,except,except,train,train,train
10004,train_input_10004.png,train_label_10004.png,valid,valid,valid,valid,valid,valid,except,valid,valid,valid,valid
10005,train_input_10005.png,train_label_10005.png,train,valid,train,train,train,train,except,except,train,train,train
10006,train_input_10006.png,train_label_10006.png,train,valid,train,train,except,except,except,train,train,train,train
10007,train_input_10007.png,train_label_10007.png,valid,valid,valid,valid,valid,valid,except,valid,valid,valid,valid
10008,train_input_10008.png,train_label_10008.png,train,valid,train,train,train,train,except,except,train,train,train
10009,train_input_10009.png,train_label_10009.png,train,valid,train,train,train,train,except,train,unseen,train,train
10010,train_input_10010.png,train_label_10010.png,train,valid,train,train,train,train,except,train,unseen,train,train
10011,train_input_10011.png,train_label_10011.png,train,valid,train,train,train,train,except,except,train,train,train
10012,train_input_10012.png,train_label_10012.png,valid,valid,valid,valid,valid,valid,except,except,valid,valid,valid
10013,train_input_10013.png,train_label_10013.png,train,valid,train,train,except,except,except,except,train,train,train
10014,train_input_10014.png,train_label_10014.png,train,valid,train,train,except,except,except,except,train,train,train
10015,train_input_10015.png,train_label_10015.png,train,valid,train,train,except,except,except,except,train,train,train
10016,train_input_10016.png,train_label_10016.png,train,valid,train,train,except,except,except,except,unseen,train,train
10017,train_input_10017.png,train_label_10017.png,train,valid,train,train,train,train,except,train,train,train,train
10018,train_input_10018.png,train_label_10018.png,train,valid,train,train,train,train,except,except,train,train,train
10019,train_input_10019.png,train_label_10019.png,train,valid,train,train,train,train,except,except,unseen,train,train
10020,train_input_10020.png,train_label_10020.png,train,valid,train,train,except,except,except,train,train,train,train
10021,train_input_10021.png,train_label_10021.png,train,valid,train,train,except,except,except,except,train,train,unseen
10022,train_input_10022.png,train_label_10022.png,train,valid,train,train,except,except,except,except,unseen,train,train
10023,train_input_10023.png,train_label_10023.png,valid,valid,valid,valid,valid,valid,except,valid,valid,valid,valid
10024,train_input_10024.png,train_label_10024.png,train,valid,train,train,train,train,except,train,train,train,train
10025,train_input_10025.png,train_label_10025.png,train,valid,train,train,train,train,except,train,unseen,train,train
10026,train_input_10026.png,train_label_10026.png,train,valid,train,train,train,train,except,train,train,train,train
10027,train_input_10027.png,train_label_10027.png,train,valid,train,train,train,train,except,train,train,train,train
10028,train_input_10028.png,train_label_10028.png,train,valid,train,train,train,train,except,except,train,train,train
10029,train_input_10029.png,train_label_10029.png,train,valid,train,train,train,train,except,except,unseen,train,train
10030,train_input_10030.png,train_label_10030.png,train,valid,train,train,train,train,except,except,train,train,train
10031,train_input_10031.png,train_label_10031.png,train,valid,train,train,train,train,except,except,train,train,train
10032,train_input_10032.png,train_label_10032.png,train,valid,train,train,train,train,except,except,train,train,train
10033,train_input_10033.png,train_label_10033.png,train,valid,train,train,train,train,except,train,train,train,train
10034,train_input_10034.png,train_label_10034.png,train,valid,train,train,train,train,except,train,train,train,train
10035,train_input_10035.png,train_label_10035.png,train,valid,train,train,train,train,except,train,train,train,train
10036,train_input_10036.png,train_label_10036.png,train,valid,train,train,train,train,except,except,train,train,train
10037,train_input_10037.png,train_label_10037.png,train,valid,train,train,train,train,except,except,unseen,train,train
10038,train_input_10038.png,train_label_10038.png,train,valid,except,except,except,except,train,except,unseen,train,train
10039,train_input_10039.png,train_label_10039.png,train,valid,except,except,except,except,valid,except,train,train,train
10040,train_input_10040.png,train_label_10040.png,train,valid,except,except,except,except,train,except,train,train,train
10041,train_input_10041.png,train_label_10041.png,train,valid,except,except,except,except,train,except,unseen,unseen,train
10042,train_input_10042.png,train_label_10042.png,train,valid,except,except,except,except,train,except,train,train,train
10043,train_input_10043.png,train_label_10043.png,train,valid,except,except,except,except,train,except,train,train,train
10044,train_input_10044.png,train_label_10044.png,train,valid,except,except,except,except,train,except,train,train,train
10045,train_input_10045.png,train_label_10045.png,valid,valid,valid,valid,valid,valid,valid,except,valid,valid,valid
10046,train_input_10046.png,train_label_10046.png,train,valid,except,except,except,except,train,except,unseen,unseen,train
10047,train_input_10047.png,train_label_10047.png,train,valid,except,except,except,except,train,except,train,train,train
10048,train_input_10048.png,train_label_10048.png,train,valid,except,except,except,except,train,except,train,train,train
10049,train_input_10049.png,train_label_10049.png,train,valid,except,except,except,except,train,except,train,train,train
10050,train_input_10050.png,train_label_10050.png,train,valid,except,except,except,except,train,except,train,train,train
10051,train_input_10051.png,train_label_10051.png,train,valid,train,train,train,train,except,train,train,train,train
10052,train_input_10052.png,train_label_10052.png,train,valid,train,train,train,train,except,except,unseen,train,train
10053,train_input_10053.png,train_label_10053.png,valid,valid,valid,valid,valid,valid,except,valid,valid,valid,valid
10054,train_input_10054.png,train_label_10054.png,train,valid,train,train,except,except,except,train,train,train,train
10055,train_input_10055.png,train_label_10055.png,valid,valid,valid,valid,valid,valid,except,valid,valid,valid,valid
10056,train_input_10056.png,train_label_10056.png,train,valid,train,train,except,except,except,train,train,train,unseen
10057,train_input_10057.png,train_label_10057.png,train,valid,train,train,train,train,except,except,unseen,train,train
10058,train_input_10058.png,train_label_10058.png,train,valid,train,train,train,train,except,except,train,train,train
10059,train_input_10059.png,train_label_10059.png,train,valid,train,train,train,train,except,except,train,train,train
10060,train_input_10060.png,train_label_10060.png,train,train,train,train,train,train,except,except,train,train,train
10061,train_input_10061.png,train_label_10061.png,train,train,train,train,train,train,except,train,train,train,train
10062,train_input_10062.png,train_label_10062.png,train,train,train,train,train,train,except,except,unseen,unseen,train
10063,train_input_10063.png,train_label_10063.png,valid,train,valid,valid,valid,valid,except,valid,valid,valid,valid
10064,train_input_10064.png,train_label_10064.png,valid,train,valid,valid,valid,valid,except,valid,valid,valid,valid
10065,train_input_10065.png,train_label_10065.png,valid,train,valid,valid,valid,valid,except,valid,valid,valid,valid
10066,train_input_10066.png,train_label_10066.png,valid,train,valid,valid,valid,valid,except,valid,valid,valid,valid
10067,train_input_10067.png,train_label_10067.png,train,train,train,train,train,train,except,train,unseen,train,train
10068,train_input_10068.png,train_label_10068.png,train,train,train,train,train,train,except,except,train,train,train
10069,train_input_10069.png,train_label_10069.png,train,train,train,train,train,train,except,except,train,train,train
10070,train_input_10070.png,train_label_10070.png,train,train,train,train,train,train,except,except,train,train,train
10071,train_input_10071.png,train_label_10071.png,train,train,train,train,train,train,except,except,train,train,train
10072,train_input_10072.png,train_label_10072.png,train,train,train,train,train,train,except,except,train,train,train
10073,train_input_10073.png,train_label_10073.png,train,train,train,train,train,train,except,except,train,train,train
10074,train_input_10074.png,train_label_10074.png,valid,train,valid,valid,valid,valid,except,valid,valid,valid,valid
10075,train_input_10075.png,train_label_10075.png,train,train,train,train,train,train,except,train,train,train,train
10076,train_input_10076.png,train_label_10076.png,train,train,train,train,train,train,except,except,train,train,train
10077,train_input_10077.png,train_label_10077.png,train,train,train,train,train,train,except,except,unseen,train,train
10078,train_input_10078.png,train_label_10078.png,train,train,train,train,train,train,except,train,train,train,train
10079,train_input_10079.png,train_label_10079.png,train,train,train,train,train,train,except,except,train,train,train
10080,train_input_10080.png,train_label_10080.png,train,train,train,train,train,train,except,except,unseen,train,train
10081,train_input_10081.png,train_label_10081.png,train,train,train,train,train,train,except,except,train,train,train
10082,train_input_10082.png,train_label_10082.png,train,train,train,train,train,train,except,except,train,train,train
10083,train_input_10083.png,train_label_10083.png,train,train,train,train,train,train,except,train,train,train,train
10084,train_input_10084.png,train_label_10084.png,train,train,train,train,train,train,except,train,unseen,train,train
10085,train_input_10085.png,train_label_10085.png,train,train,train,train,train,train,except,train,train,train,train
10086,train_input_10086.png,train_label_10086.png,train,train,train,train,train,train,except,except,train,train,train
10087,train_input_10087.png,train_label_10087.png,train,train,train,train,train,train,except,except,train,train,train
10088,train_input_10088.png,train_label_10088.png,train,train,train,train,train,train,except,train,train,train,train
10089,train_input_10089.png,train_label_10089.png,train,train,train,train,train,train,except,except,unseen,train,train
10090,train_input_10090.png,train_label_10090.png,train,train,train,train,train,train,except,except,unseen,train,train
10091,train_input_10091.png,train_label_10091.png,train,train,train,train,train,train,except,except,train,train,train
10092,train_input_10092.png,train_label_10092.png,train,train,train,train,except,except,except,except,train,train,train
10093,train_input_10093.png,train_label_10093.png,train,train,train,train,except,except,except,train,train,train,train
10094,train_input_10094.png,train_label_10094.png,train,train,train,train,except,except,except,train,train,train,train
10095,train_input_10095.png,train_label_10095.png,train,train,train,train,except,except,except,except,train,train,unseen
10096,train_input_10096.png,train_label_10096.png,train,train,train,train,except,except,except,train,train,train,train
10097,train_input_10097.png,train_label_10097.png,train,train,train,train,except,except,except,except,unseen,train,train
10098,train_input_10098.png,train_label_10098.png,train,train,train,train,except,except,except,train,train,train,train
10099,train_input_10099.png,train_label_10099.png,valid,train,valid,valid,valid,valid,except,valid,valid,valid,valid
10100,train_input_10100.png,train_label_10100.png,valid,train,valid,valid,valid,valid,except,valid,unseen,valid,valid
10101,train_input_10101.png,train_label_10101.png,train,train,train,train,except,except,except,train,train,train,train
10102,train_input_10102.png,train_label_10102.png,train,train,train,train,except,except,except,except,train,train,train
10103,train_input_10103.png,train_label_10103.png,train,train,train,train,train,train,except,except,unseen,train,train
10104,train_input_10104.png,train_label_10104.png,train,train,train,train,train,train,except,except,train,train,train
10105,train_input_10105.png,train_label_10105.png,train,train,train,train,train,train,except,train,train,train,train
10106,train_input_10106.png,train_label_10106.png,train,train,train,train,train,train,except,except,train,train,train
10107,train_input_10107.png,train_label_10107.png,train,train,train,train,train,train,except,except,train,train,train
10108,train_input_10108.png,train_label_10108.png,train,train,train,train,train,train,except,train,train,train,train
10109,train_input_10109.png,train_label_10109.png,train,train,train,train,train,train,except,train,train,train,train
10110,train_input_10110.png,train_label_10110.png,train,train,train,train,train,train,except,except,train,train,train
10111,train_input_10111.png,train_label_10111.png,train,train,train,train,train,train,train,except,unseen,train,train
10112,train_input_10112.png,train_label_10112.png,train,train,train,train,train,train,valid,train,train,train,train
10113,train_input_10113.png,train_label_10113.png,train,train,train,train,train,train,train,except,train,train,train
10114,train_input_10114.png,train_label_10114.png,train,train,train,train,train,train,train,train,train,train,train
10115,train_input_10115.png,train_label_10115.png,train,train,train,train,train,train,train,except,unseen,train,train
10116,train_input_10116.png,train_label_10116.png,train,train,train,train,train,train,train,except,train,train,train
10117,train_input_10117.png,train_label_10117.png,train,train,train,train,train,train,train,except,train,train,train
